frame.time_epoch;ip.src;ip.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;http.host;tls.handshake.extensions_server_name;frame.protocols;frame.len;http.request.method;http.response.code;dns.qry.name;tcp.flags
1676306365.195933000;10.2.13.101;10.2.13.1;;;54753;53;;;eth:ethertype:ip:udp:dns;81;;;treylercompandium.com;
1676306365.229715000;10.2.13.1;10.2.13.101;;;53;54753;;;eth:ethertype:ip:udp:dns;413;;;treylercompandium.com;
1676306365.322646000;10.2.13.101;192.3.76.227;49864;443;;;;treylercompandium.com;eth:ethertype:ip:tcp:tls;242;;;;0x0018
1676306368.182335000;10.2.13.101;192.3.76.227;49865;443;;;;treylercompandium.com;eth:ethertype:ip:tcp:tls;242;;;;0x0018
1676306368.182826000;10.2.13.101;192.3.76.227;49866;443;;;;treylercompandium.com;eth:ethertype:ip:tcp:tls;242;;;;0x0018
1676306373.510304000;10.2.13.101;10.2.13.1;;;61723;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676306373.613374000;10.2.13.1;10.2.13.101;;;53;61723;;;eth:ethertype:ip:udp:dns;412;;;qonavlecher.com;
1676306373.697825000;10.2.13.101;192.3.76.227;49868;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676306667.172536000;10.2.13.101;10.2.13.1;;;51856;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676306667.356540000;10.2.13.1;10.2.13.101;;;53;51856;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676306667.428805000;10.2.13.101;192.3.76.227;49874;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676306969.227568000;10.2.13.101;10.2.13.1;;;63796;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676306969.267988000;10.2.13.1;10.2.13.101;;;53;63796;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676306969.349075000;10.2.13.101;192.3.76.227;49875;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676307271.295698000;10.2.13.101;10.2.13.1;;;62430;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676307271.421405000;10.2.13.1;10.2.13.101;;;53;62430;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676307271.501156000;10.2.13.101;192.3.76.227;49876;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676307573.290175000;10.2.13.101;10.2.13.1;;;62157;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676307573.334520000;10.2.13.1;10.2.13.101;;;53;62157;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676307573.411879000;10.2.13.101;192.3.76.227;49884;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676307875.071681000;10.2.13.101;10.2.13.1;;;57141;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676307875.073866000;10.2.13.1;10.2.13.101;;;53;57141;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676307875.161531000;10.2.13.101;192.3.76.227;49888;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676308176.958809000;10.2.13.101;10.2.13.1;;;58708;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676308177.028889000;10.2.13.1;10.2.13.101;;;53;58708;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676308177.112156000;10.2.13.101;192.3.76.227;49894;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676308478.926869000;10.2.13.101;10.2.13.1;;;62801;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676308478.962940000;10.2.13.1;10.2.13.101;;;53;62801;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676308479.049380000;10.2.13.101;192.3.76.227;49897;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676308780.707595000;10.2.13.101;10.2.13.1;;;58044;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676308780.784909000;10.2.13.1;10.2.13.101;;;53;58044;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676308780.861778000;10.2.13.101;192.3.76.227;49902;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676309082.477771000;10.2.13.101;10.2.13.1;;;65252;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676309082.651037000;10.2.13.1;10.2.13.101;;;53;65252;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676309082.730148000;10.2.13.101;192.3.76.227;49908;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676309384.236703000;10.2.13.101;10.2.13.1;;;52960;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676309384.324271000;10.2.13.1;10.2.13.101;;;53;52960;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
